Step,Traffic_Rate,Latency_us,Is_Merged,Reward,Energy_Efficiency
0,988.0,49400.0,0,-0.0494,16.632996632996633
1,1022.0,51100.0,0,-0.0511,16.726677577741405
2,963.0,48150.00000000001,0,-0.048150000000000005,16.560619088564057
3,1009.0,50450.0,0,-0.05045,16.691480562448305
4,1035.0,51750.00000000001,0,-0.051750000000000004,16.761133603238864
5,967.0,48350.00000000001,0,-0.048350000000000004,16.572407883461867
6,982.0,49100.00000000001,0,-0.049100000000000005,16.61590524534687
7,994.0,49700.0,0,-0.0497,16.649916247906198
8,1010.0,50500.0,0,-0.0505,16.694214876033058
9,980.0,49000.0,0,-0.049,16.610169491525422
10,996.0,49800.00000000001,0,-0.049800000000000004,16.65551839464883
11,970.0,48500.0,0,-0.0485,16.581196581196583
12,1008.0,50400.0,0,-0.0504,16.688741721854306
13,1010.0,50500.0,0,-0.0505,16.694214876033058
14,982.0,49100.00000000001,0,-0.049100000000000005,16.61590524534687
15,1017.0,50850.0,0,-0.05085,16.713229252259655
16,957.0,47850.00000000001,0,-0.047850000000000004,16.542783059636992
17,977.0,48850.00000000001,0,-0.048850000000000005,16.601529311809685
18,982.0,49100.00000000001,0,-0.049100000000000005,16.61590524534687
19,1004.0,50200.0,0,-0.0502,16.677740863787374
20,1009.0,50450.0,0,-0.05045,16.691480562448305
21,948.0,47400.00000000001,0,-0.047400000000000005,16.51567944250871
22,924.0,46200.00000000001,0,-0.046200000000000005,16.441281138790035
23,990.0,49500.0,0,-0.0495,16.638655462184875
24,1034.0,51700.0,0,-0.0517,16.758508914100485
25,979.0,48950.0,0,-0.04895,16.60729431721798
26,961.0,48050.0,0,-0.04805,16.554694229112833
27,1027.0,51350.0,0,-0.05135,16.7400162999185
28,1019.0,50950.0,0,-0.05095,16.718621821164888
29,1027.0,51350.0,0,-0.05135,16.7400162999185
30,987.0,49350.00000000001,0,-0.049350000000000005,16.630160067396798
31,1040.0,52000.00000000001,0,-0.052000000000000005,16.774193548387096
32,984.0,49200.0,0,-0.0492,16.62162162162162
33,982.0,49100.00000000001,0,-0.049100000000000005,16.61590524534687
34,1022.0,51100.0,0,-0.0511,16.726677577741405
35,1045.0,52250.00000000001,0,-0.052250000000000005,16.78714859437751
36,957.0,47850.00000000001,0,-0.047850000000000004,16.542783059636992
37,1025.0,51250.00000000001,0,-0.051250000000000004,16.734693877551017
38,1026.0,51300.00000000001,0,-0.051300000000000005,16.737357259380097
39,1002.0,50100.00000000001,0,-0.050100000000000006,16.672212978369384
40,3804.3332068494237,100.0,1,-0.0001,372.97384380876707
41,3673.3826003512054,100.0,1,-0.0001,363.7012475595253
42,3173.5445578292697,100.0,1,-0.0001,314.21233245834355
43,4312.602880234448,100.0,1,-0.0001,426.99038418162854
44,3261.8308563655446,100.0,1,-0.0001,322.9535501352024
45,3078.7904592586974,100.0,1,-0.0001,304.8307385404651
46,4040.097986160021,100.0,1,-0.0001,400.0097016000021
47,3193.1878631153804,100.0,1,-0.0001,316.1572141698397
48,7227.62041063857,100.0,1,-0.0001,715.6059812513436
49,7880.475949843894,100.0,1,-0.0001,780.2451435489005
50,6340.787630722363,100.0,1,-0.0001,627.8007555170657
51,3379.2322421930244,100.0,1,-0.0001,334.5774497220816
52,3044.5007575014024,100.0,1,-0.0001,301.4357185644953
53,6731.410837383795,100.0,1,-0.0001,666.476320533049
54,3458.079631821417,100.0,1,-0.0001,342.38412196251653
55,8861.011571678511,100.0,1,-0.0001,877.327878384011
56,8530.090101130725,100.0,1,-0.0001,844.5633763495767
57,5293.398704493405,100.0,1,-0.0001,524.0988816330104
58,3384.42158799825,100.0,1,-0.0001,335.0912463364604
59,3429.4477141648813,100.0,1,-0.0001,339.5492786301863
60,5264.645600170141,100.0,1,-0.0001,521.252039620806
61,3339.388235268797,100.0,1,-0.0001,330.63249854146505
62,3084.232748706914,100.0,1,-0.0001,305.3695790798925
63,3819.4312587973245,100.0,1,-0.0001,378.1615107720123
64,6973.441493059998,100.0,1,-0.0001,690.4397517881187
65,4236.309328400728,100.0,1,-0.0001,419.43656716838893
66,3777.285480330045,100.0,1,-0.0001,373.9886614188164
67,3071.477680874364,100.0,1,-0.0001,304.1067010766697
68,3941.874140855744,100.0,1,-0.0001,390.28456840155883
69,13595.431489665878,100.0,1,-0.0001,1346.0823257094928
70,983.0,49150.0,0,-0.04915,16.59071729957806
71,1016.0,50800.00000000001,0,-0.050800000000000005,16.710526315789473
72,1001.0,50050.00000000001,0,-0.050050000000000004,16.669442131557034
73,1013.0,50650.0,0,-0.05065,16.702390766694148
74,1018.0,50900.0,0,-0.0509,16.715927750410508
75,1062.0,53100.0,0,-0.0531,16.83042789223455
76,985.0,49250.0,0,-0.04925,16.62447257383966
77,1056.0,52800.0,0,-0.0528,16.81528662420382
78,977.0,48850.00000000001,0,-0.048850000000000005,16.601529311809685
79,1032.0,51600.0,0,-0.0516,16.753246753246753
80,1003.0,50150.0,0,-0.05015,16.674979218620116
81,950.0,47500.0,0,-0.0475,16.52173913043478
82,1048.0,52400.0,0,-0.0524,16.794871794871792
83,985.0,49250.0,0,-0.04925,16.62447257383966
84,1021.0,51050.00000000001,0,-0.051050000000000005,16.723996723996724
85,1045.0,52250.00000000001,0,-0.052250000000000005,16.78714859437751
86,1013.0,50650.0,0,-0.05065,16.702390766694148
87,964.0,48200.0,0,-0.0482,16.56357388316151
88,1010.0,50500.0,0,-0.0505,16.694214876033058
89,952.0,47600.0,0,-0.0476,16.52777777777778
90,1004.0,50200.0,0,-0.0502,16.677740863787374
91,1014.0,50700.0,0,-0.0507,16.70510708401977
92,1020.0,51000.00000000001,0,-0.051000000000000004,16.721311475409834
93,984.0,49200.0,0,-0.0492,16.62162162162162
94,1014.0,50700.0,0,-0.0507,16.70510708401977
95,1014.0,50700.0,0,-0.0507,16.70510708401977
96,950.0,47500.0,0,-0.0475,16.52173913043478
97,977.0,48850.00000000001,0,-0.048850000000000005,16.601529311809685
98,1046.0,52300.0,0,-0.0523,16.78972712680578
99,1029.0,51450.0,0,-0.05145,16.7453213995118
