episode,reward,length
0,-0.1653717,100
1,-0.14631745,100
2,-0.17436518,100
3,-0.1283771,100
4,-0.13738465,100
5,-0.15640531,100
6,-0.13732848,100
7,-0.1653757,100
8,-0.15539224,100
9,-0.14733236,100
10,-0.1744117,100
11,-0.1653775,100
12,-0.15632503,100
13,-0.15636723,100
14,-0.12940404,100
15,-0.1463297,100
16,-0.14738102,100
17,-0.1553827,100
18,-0.120330006,100
19,-0.15633236,100
20,-0.13733736,100
21,-0.12837239,100
22,-0.11127274,100
23,-0.13834569,100
24,-0.1293087,100
25,-0.12933992,100
26,-0.1283347,100
27,-0.1654082,100
28,-0.111385725,100
29,-0.12936887,100
30,-0.14740138,100
31,-0.12029768,100
32,-0.15539469,100
33,-0.102395326,100
34,-0.12935464,100
35,-0.1293304,100
36,-0.1373414,100
37,-0.13836433,100
38,-0.13735886,100
39,-0.14741232,100
40,-0.12935816,100
41,-0.1283168,100
42,-0.09229819,100
43,-0.10232746,100
44,-0.1203355,100
45,-0.0663139,100
46,-0.11036994,100
47,-0.111309074,100
48,-0.102332816,100
49,-0.101368345,100
50,-0.092335336,100
51,-0.084235325,100
52,-0.110340536,100
53,-0.11139419,100
54,-0.09228582,100
55,-0.09335046,100
56,-0.06535211,100
57,-0.12030321,100
58,-0.11027457,100
59,-0.10233377,100
60,-0.119368866,100
61,-0.09338259,100
62,-0.09333282,100
63,-0.11128793,100
64,-0.075395815,100
65,-0.074357405,100
66,-0.093328245,100
67,-0.101319134,100
68,-0.092256635,100
69,-0.10122248,100
70,-0.10230545,100
71,-0.07431662,100
72,-0.09327245,100
73,-0.04824654,100
74,-0.066247776,100
75,-0.074285045,100
76,-0.09230601,100
77,-0.08439527,100
78,-0.08339558,100
79,-0.09232546,100
80,-0.08336314,100
81,-0.074356094,100
82,-0.083335355,100
83,-0.07526394,100
84,-0.084332064,100
85,-0.07427158,100
86,-0.06628111,100
87,-0.07530199,100
88,-0.075278334,100
89,-0.07529824,100
90,-0.048276566,100
91,-0.093351215,100
92,-0.07425729,100
93,-0.08435948,100
94,-0.06621398,100
95,-0.10133481,100
96,-0.08439071,100
97,-0.084207706,100
98,-0.06535829,100
99,-0.09341622,100
100,-0.039375044,100
101,-0.07433553,100
